district_id,district_pop,total_votes,winner_party,winner_votes,winner_share,winner_bloc
0,18345,7587,PP,2352,0.310003954132068,derecha
1,18549,8425,PP,2909,0.3452818991097923,derecha
10,21469,10093,PP,3326,0.3295353215099574,derecha
11,18367,9357,PP,2984,0.3189056321470557,derecha
12,19552,9795,PSOE,2907,0.2967840735068913,izquierda
13,19569,8911,PP,2616,0.2935697452586691,derecha
14,19785,8927,PP,2560,0.2867704716030021,derecha
15,19556,10009,PP,2807,0.2804475971625537,derecha
16,19537,9717,PP,2954,0.3040032931974889,derecha
17,19725,9633,PP,3065,0.3181770995536178,derecha
18,19337,9060,PP,2688,0.2966887417218543,derecha
19,19343,10631,PP,3147,0.2960210704543317,derecha
2,21469,10275,PP,3369,0.3278832116788321,derecha
20,19985,11976,PP,3930,0.3281563126252505,derecha
21,19989,11136,PP,5586,0.5016163793103449,derecha
22,20434,9593,PP,4295,0.4477222975086,derecha
23,19951,12076,PP,7128,0.5902616760516728,derecha
24,20168,10383,PP,4710,0.4536261196186073,derecha
25,20391,10259,PP,4357,0.4247002631835461,derecha
26,19873,11033,PP,4624,0.4191063174114021,derecha
27,21099,10099,PP,3945,0.3906327359144469,derecha
28,19891,7085,PSOE,2278,0.3215243472124206,izquierda
29,20178,7663,PP,2463,0.3214145895863239,derecha
3,21230,8983,PP,2885,0.321162195257709,derecha
30,20060,7833,PSOE,2319,0.2960551512830333,izquierda
31,20082,7850,PP,2512,0.32,derecha
32,19776,7914,PP,2490,0.3146322971948446,derecha
33,20003,8060,PP,2993,0.3713399503722084,derecha
34,20257,10702,PP,4899,0.4577649037563072,derecha
35,20263,8023,PP,2402,0.2993892558893182,derecha
36,19471,9287,PP,3419,0.3681490255195434,derecha
37,19100,9823,PP,3183,0.3240354270589433,derecha
38,19710,9787,PP,2840,0.2901808521508123,derecha
39,19910,8326,PSOE,2647,0.3179197693970694,izquierda
4,21542,10713,PP,3717,0.3469616353962475,derecha
40,19861,9740,PP,3328,0.3416837782340862,derecha
41,18955,11293,PP,4424,0.3917470999734349,derecha
42,20821,10236,PP,3490,0.3409534974599453,derecha
43,20187,11885,PP,5479,0.4610012620950778,derecha
44,20387,10409,PP,3380,0.3247189931789797,derecha
45,19672,9055,PP,3487,0.385091109884042,derecha
46,19492,8553,PP,3480,0.4068747807786741,derecha
47,19873,10996,PP,3343,0.3040196435067297,derecha
48,21132,10014,PP,3174,0.316956261234272,derecha
49,19220,9972,PP,4137,0.4148616125150421,derecha
5,21516,7956,PP,2918,0.3667672197083961,derecha
50,20092,10457,PP,3369,0.3221765324662905,derecha
51,18965,9737,PP,3101,0.3184759166067577,derecha
52,19183,8664,PSOE,2721,0.3140581717451524,izquierda
53,21381,8570,PP,3066,0.357759626604434,derecha
54,22648,11418,PP,3837,0.3360483447188649,derecha
55,22800,10638,PP,3452,0.3244970859184057,derecha
56,22753,10102,PP,3315,0.3281528410215799,derecha
57,20078,10032,PP,3356,0.3345295055821372,derecha
58,19582,9924,PP,3273,0.3298065296251511,derecha
59,21599,7784,PP,2878,0.3697327852004111,derecha
6,21169,8901,PP,2980,0.3347938433883833,derecha
60,20044,9355,PP,3366,0.3598075895243185,derecha
61,21324,8835,PSOE,2812,0.3182795698924731,izquierda
62,21764,10492,PP,3248,0.3095691955775829,derecha
63,22229,10179,PP,3371,0.3311720208271932,derecha
64,21685,10653,PP,3748,0.3518257767764949,derecha
65,20928,10739,PP,3604,0.3355992178042648,derecha
66,22517,9788,PP,3143,0.3211074785451573,derecha
7,21752,11116,PP,3859,0.3471572508096437,derecha
8,21474,10240,PP,3195,0.31201171875,derecha
9,21572,9434,PP,3031,0.3212847148611406,derecha
